"year","filetype","filecount","processed_status"
"2021","Images","1","pending"
"2021","Images","385","pending"
"2021","Images","22617","pending"
"2021","Images","1","pending"
"2021","Video","10","pending"
"2021","Video","5","pending"
"2021","Video","1533","pending"
"2021","Video","905","pending"
"2021","magazine","6858","pending"
"2021","Images","864","pending"
"2021","Images","6","pending"
"2021","Images","1","pending"
"2021","Images","27","pending"
"2022","Images","4","pending"
"2022","Images","347","pending"
"2022","Images","56331","pending"
"2022","Video","96","pending"
"2022","Video","3295","pending"
"2022","Video","27","pending"
"2022","Video","1529","pending"
"2022","magazine","3899","pending"
"2022","Images","468","pending"
"2022","Images","1","pending"
"2022","Images","4","pending"
"2023","Images","28","pending"
"2023","Images","319","pending"
"2023","Images","87821","pending"
"2023","Video","9","pending"
"2023","Video","988","pending"
"2023","Video","6647","pending"
"2023","Video","842","pending"
"2023","magazine","3901","pending"
"2023","Images","519","pending"
"2023","Images","6","pending"
"2023","Images","5","pending"
"2023","Images","7","pending"
"2024","Images","84","pending"
"2024","Images","398","pending"
"2024","Images","20","completed"
"2024","Images","37953","pending"
"2024","Images","30735","completed"
"2024","Video","69","pending"
"2024","Video","7337","pending"
"2024","Video","745","pending"
"2024","magazine","3509","pending"
"2024","Images","410","pending"
"2024","Images","87","completed"
"2024","Images","2","pending"
"2024","Video","3","pending"
"2024","Images","52","pending"
"2025","Images","104","pending"
"2025","Images","152","pending"
"2025","Images","2","completed"
"2025","Images","16228","pending"
"2025","Images","26739","completed"
"2025","Video","1","pending"
"2025","Video","230","pending"
"2025","Video","4171","pending"
"2025","Video","89","pending"
"2025","magazine","922","pending"
"2025","Images","49","pending"
"2025","Images","25","pending"
"2101","Images","3","pending"
